video_id,channel_name,title,published_at,view_count,like_count,comment_count
uNZkHsYON88,KanalZero,"PRZEKAZ DNIA: POLICJA U SAKIEWICZA, MORAWIECKI VS CZARNEK, EUROWIZJA I PRAWICOWE TRZĘSIENIE W UK",2026-05-15T18:16:53Z,46556,1713,217
JdDWKaVrGZE,KanalZero,PIORUN UDERZYŁ W TURYSTÓW NA GIEWONCIE,2026-05-15T17:42:31Z,85721,428,60
VCD2xlCnjGQ,KanalZero,ROSJA PRZEJMUJE KONTROLĘ NAD UKRAIŃSKIMI DRONAMI. ATAK NA ŁOTWĘ,2026-05-15T16:30:21Z,62181,2131,322
OZUb4IkLwAM,KanalZero,"SZEMPLIŃSKA PODBIŁA SIEĆ. IZRAEL, EUROWIZJA I WYMOWNA REAKCJA",2026-05-15T15:33:58Z,313988,10087,1926
qtGiDzo72s4,KanalZero,SMUTNY KONIEC IMPREZY W WILANOWIE,2026-05-15T14:28:08Z,132489,1692,109
ooSM0WL3Khs,KanalZero,FESTIWAL W CANNES OD ŚRODKA!,2026-05-15T13:55:15Z,8885,69,2
CAK2dZ9vpCg,KanalZero,"ZERO DYSKUSJI #7 - PRUSINOWSKI, MAZUREK, SROCZYŃSKI, BURZYŃSKA",2026-05-15T13:55:00Z,93211,3405,245
4DoenxmhNok,KanalZero,MINISTER POD PRESJĄ. DYREKTOR ODWOŁANY. AFERA PARTY WILANÓW,2026-05-15T13:35:00Z,105929,4682,584
bFXxK76KM40,KanalZero,OPOWIEŚCI TEDE!,2026-05-15T12:30:45Z,92656,159,4
UOVkcZvhBEg,KanalZero,"NAUKA, PRAWNICY I LOBBYŚCI W SŁUŻBIE KORPORACJI | NAUKOWE ZERO",2026-05-15T11:13:13Z,19555,977,103
boUgo8uoViM,KanalZero,UWAŻAJACIE NA TAKICH OSZUSTÓW!,2026-05-15T10:15:05Z,335906,2707,64
k_3kaC6JRuQ,KanalZero,JAK OSIĄGNIĄĆ SUKCES W MUZYCE?,2026-05-15T10:01:18Z,27299,59,1
Gbi38zsQJZA,KanalZero,ILE ZARABIA RZECZNIK LEWICY?,2026-05-15T09:30:08Z,633185,6472,621
ZL2H-1vaCD8,KanalZero,"ADAM KALINOWSKI I ""WODOSPADY"" W KANALE ZERO!",2026-05-15T08:30:14Z,16105,168,13
Ape34srhh0Q,KanalZero,"""NOWY ALGORYTM STRATEGICZNY POLSKI"" JUŻ NIEDŁUGO W SPRZEDAŻY!",2026-05-15T08:00:15Z,3982,24,0
wZw3LQLD1jw,KanalZero,ŁUKASZ MICHNIK I GRZEGORZ SROCZYŃSKI - PORANNE ROZMOWY ZERO,2026-05-15T07:51:45Z,19538,804,214
EeWMNRoIDkg,KanalZero,CO MYŚLĄ O TRUMPIE NA TAJWANIE?,2026-05-15T07:45:00Z,29206,250,4
6d4YfxOaSFw,KanalZero,ROBI FURORĘ POLSKIMI HITAMI PO ANGIELSKU I ZWIEDZANIE TRUMNY W NOC MUZEÓW,2026-05-15T07:20:15Z,28753,719,29
yzkA1tOYf5s,KanalZero,CO NA TAJWANIE MÓWIĄ O TRUMPIE W CHINACH?,2026-05-15T07:01:00Z,89413,2477,196
MHf6e3qD1p0,KanalZero,"LIGA DEBAT #5 - WYNIKI: PRUSINOWSKI, SROCZYŃSKI, OWSIANKO, PODGAJNIK",2026-05-14T20:49:29Z,69059,1808,259
P8bamMLHcNA,KanalZero,AKCYZA NA RATUNEK OCHRONIE ZDROWIA! (FILM POLSKI 2050),2026-05-14T20:31:24Z,4902,118,114
qUsFGZdpj-M,KanalZero,"PRZEKAZ DNIA: WIZYTA TRUMPA W CHINACH, POLITYCZNY BAJZEL Z KRYPTO, WOJSKA USA W POLSCE",2026-05-14T18:27:54Z,27251,799,52
t8CHMh4at0g,KanalZero,TRUMP PONOWNIE W CHINACH. CO TAM ROBI?,2026-05-14T17:45:07Z,32739,289,18
ccUPV5VwElw,KanalZero,TOMMY ROBINSON - DO NIEGO JECHAŁ TARCZYŃSKI. LONDYN PRZED ANTYIMIGRANCKIM MARSZEM,2026-05-14T17:28:49Z,81200,2999,579
7vELtGsjVtI,KanalZero,"MAJA OSTASZEWSKA - HIPOKRYZJA, ZWIERZĘTA, GRANICA I GLOBALNE OCIEPLENIE",2026-05-14T16:00:11Z,248745,12186,1967
8oY4Nvk62X4,KanalZero,PRZYJACIELE TRUMP I XI. CHIŃSKIE PRZYJĘCIE PREZYDENTA USA,2026-05-14T15:02:58Z,99602,2913,192
629uMNGWSvI,KanalZero,PROF. MATCZAK O UCIECZCE ZIOBRO,2026-05-14T14:30:10Z,17499,90,78
b7FsIHY98OU,KanalZero,MŁODZI MÓWIĄ LEPIEJ PO ANGIELSKU?,2026-05-14T14:15:06Z,52575,282,41
YC4nsZHkQcc,KanalZero,ZMIANA WARTY NA TAJWANIE,2026-05-14T14:00:57Z,22340,228,22
8xYaRPO-wYI,KanalZero,"ESCOBAR, HUSSEIN I ZIOBRO - JAK UCIEKALI? NIEPOPRAWNIK",2026-05-14T13:39:09Z,31778,1058,511
33A7LETmhU4,KanalZero,KAROL NAWROCKI NA MSZY POLOWEJ W RUMUNII,2026-05-14T13:30:03Z,117745,3156,112
vGKYvRxl1gA,KanalZero,ANDRZEJ ROZENEK VS KRZYSZTOF SZYMAŃSKI,2026-05-14T13:01:39Z,14043,104,15
ZNWcfp6a2Gk,KanalZero,CZYM JEST GAIA AI?,2026-05-14T12:45:09Z,5012,29,7
PDrlHx-c9wo,KanalZero,MOCNE SŁOWA BOCHEŃSKIEGO O LGBT!,2026-05-14T12:15:04Z,14398,378,44
mqe-vVJ3OUg,KanalZero,AFERA Z TACO MOCNO PRZESADZONA?,2026-05-14T11:45:12Z,8251,30,5
eC0YsK-sRe0,KanalZero,A CZY WY SIĘ UŚMIECHACIE?,2026-05-14T11:45:05Z,32463,217,20
iqnb9MpXM9o,KanalZero,ILE JEST PŁCI?,2026-05-14T11:15:09Z,590365,28964,1413
xvoamBPQ6-s,KanalZero,"NAGRODY NOBLA - NAJLEPSZY PR W HISTORII? DYNAMIT, BRUDNA FORTUNA I PRESTIŻ",2026-05-14T10:43:43Z,33171,1488,44
1Jrk-V0wIMo,KanalZero,JUŻ NIEDŁUGO W KSIĘGARNIACH!,2026-05-14T10:30:02Z,5299,30,3
qpIAgCNurts,KanalZero,DLACZEGO LUDZIE NIE UFAJĄ FARMACEUTOM?,2026-05-14T10:01:15Z,9110,48,7
u2X3LLfpuFQ,KanalZero,DLACZEGO CHCECIE KARAĆ LUDZI ZA BLANTY?,2026-05-14T09:45:06Z,13569,94,51
Zx3wkX2Tamk,KanalZero,POJEDYNEK BOCHEŃSKIEGO I FIGURY! PUTIN CZY NETANJAHU?,2026-05-14T09:15:02Z,42337,376,90
BKL4cKIAcWk,KanalZero,BOCHEŃSKI SPRYWATYZOWAŁBY TVP?,2026-05-14T08:30:10Z,17975,342,30
fJX082bdclM,KanalZero,SKĄD OMZRIK MA PIENIĄDZE?,2026-05-14T08:08:00Z,11680,185,6
-PEmbR-40m4,KanalZero,ROKITA: ZIOBRO W USA. WINA SPADNIE NA ŻURKA,2026-05-14T08:00:13Z,119675,6340,874
lz5gt7vRVLc,KanalZero,TOBIASZ BOCHEŃSKI I JACEK PRUSINOWSKI - PORANNE ROZMOWY ZERO,2026-05-14T07:41:50Z,27387,854,152
4XnU05oja40,KanalZero,JAK TRAKTUJESZ SWOJEGO FARMACEUTĘ? I CO MOŻE POLSKA SZTUCZNA INTELIGENCJA?,2026-05-14T07:11:32Z,30614,712,30
kvLBt4ISK5Q,KanalZero,PRZEŚWIETLAMY FINANSE FUNDACJI OD WALKI Z KSENOFOBIĄ. WĄTPLIWE SUKCESY I BRAK SPRAWOZDAŃ,2026-05-14T05:00:40Z,98755,5574,872
-7z_eHhA4Ig,KanalZero,"LIGA DEBAT #5 - ROZENEK, BOCHEŃSKI, SZYMAŃSKI, ORLIŃSKI, MICHNIK, MERTA, GOMOŁA, FIGURA",2026-05-13T21:24:32Z,114752,2805,804
DKYBrh0nHdM,KanalZero,"PRZEKAZ DNIA: BITWA O KRYPTOWALUTY, ZERO NA TAJWANIE, TRUMP W CHINACH, WSCHODNIA FLANKA NATO",2026-05-13T17:54:19Z,40545,1057,65
w1f4zch5vZQ,KanalZero,NAWROCKI W RUMUNII O SILE WSCHODNIEJ FLANKI NATO,2026-05-13T16:25:32Z,62193,2002,154
JI2oHI9cS_Q,KanalZero,RAFAŁ BRZOZOWSKI O EUROWIZJI,2026-05-13T16:15:05Z,65710,296,18
jLq2qHRirJk,KanalZero,"WRACA IZERA, PZU PRZEJMUJE METLIFE, NISSAN TNIE ZATRUDNIENIE | RYNKI OD ZERA",2026-05-13T15:01:37Z,26352,978,74
9oqP4aBLldU,KanalZero,GŁODZIU O SWOIM WYPADKU W ALBANII!,2026-05-13T15:00:15Z,18924,85,7
_w0dWMyeDEY,KanalZero,RURY W BROWARZE MOGĄ OKRĄŻYĆ ZIEMIE?,2026-05-13T14:45:03Z,2655,27,7
RcwsuvP8QSI,KanalZero,JAKIE PROPORCJE POWINNO MIEĆ PIWO?,2026-05-13T14:00:48Z,1707,27,1
DCWNe5ZRfww,KanalZero,JEDNOPŁCIOWE MAŁŻEŃSTWA LEGALNE W POLSCE? PADŁA DEKLARACJA TUSKA,2026-05-13T14:00:31Z,49938,2076,680
Km1QuHkwC5k,KanalZero,JAK DUŻO STANOWSKI WIE O PIWIE?,2026-05-13T13:45:05Z,15207,164,37
JzHSPXXCYzg,KanalZero,ZAKONNICA KTÓRA ZATRZYMAŁA ALIEGO AGCĘ,2026-05-13T13:15:03Z,21447,136,4
4VmRb5HoU3o,KanalZero,JAK ZROBIĆ DOBRE PIWO?,2026-05-13T13:15:00Z,1639,25,3
-43UOKhuYzo,KanalZero,"ZIOBRO POZA ZASIEGIEM ŻURKA, TUSK ROZCZAROWANY, MOŻLIWA DYMISJA",2026-05-13T13:00:00Z,162546,5778,647
i0YAoFSjouE,KanalZero,KTO WYSTĄPI W LIDZE DEBAT?,2026-05-13T12:45:07Z,9088,62,2
ULzasct1frM,KanalZero,KIEDY PROSISZ WSZECHŚWIAT O ZNAK,2026-05-13T12:15:03Z,7101,36,1
F9HVlE_MkzQ,KanalZero,"STANOWSKI: PIWO, ROBOTY I LEGENDARNY BROWAR",2026-05-13T12:02:06Z,31776,1639,467
