video_id,channel_name,title,published_at,view_count,like_count,comment_count,duration,category_id
ZL2H-1vaCD8,KanalZero,"ADAM KALINOWSKI I ""WODOSPADY"" W KANALE ZERO!",2026-05-15T08:30:14Z,16219,168,13,PT1M34S,22
Ape34srhh0Q,KanalZero,"""NOWY ALGORYTM STRATEGICZNY POLSKI"" JUŻ NIEDŁUGO W SPRZEDAŻY!",2026-05-15T08:00:15Z,4018,24,0,PT22S,22
wZw3LQLD1jw,KanalZero,ŁUKASZ MICHNIK I GRZEGORZ SROCZYŃSKI - PORANNE ROZMOWY ZERO,2026-05-15T07:51:45Z,19679,812,215,PT38M25S,22
EeWMNRoIDkg,KanalZero,CO MYŚLĄ O TRUMPIE NA TAJWANIE?,2026-05-15T07:45:00Z,29373,250,4,PT38S,22
6d4YfxOaSFw,KanalZero,ROBI FURORĘ POLSKIMI HITAMI PO ANGIELSKU I ZWIEDZANIE TRUMNY W NOC MUZEÓW,2026-05-15T07:20:15Z,28826,720,29,PT1H53M36S,22
yzkA1tOYf5s,KanalZero,CO NA TAJWANIE MÓWIĄ O TRUMPIE W CHINACH?,2026-05-15T07:01:00Z,89749,2486,196,PT13M1S,22
MHf6e3qD1p0,KanalZero,"LIGA DEBAT #5 - WYNIKI: PRUSINOWSKI, SROCZYŃSKI, OWSIANKO, PODGAJNIK",2026-05-14T20:49:29Z,69711,1817,260,PT2H26M31S,22
P8bamMLHcNA,KanalZero,AKCYZA NA RATUNEK OCHRONIE ZDROWIA! (FILM POLSKI 2050),2026-05-14T20:31:24Z,4919,118,115,PT11M15S,22
qUsFGZdpj-M,KanalZero,"PRZEKAZ DNIA: WIZYTA TRUMPA W CHINACH, POLITYCZNY BAJZEL Z KRYPTO, WOJSKA USA W POLSCE",2026-05-14T18:27:54Z,27390,802,52,PT1H14M20S,22
t8CHMh4at0g,KanalZero,TRUMP PONOWNIE W CHINACH. CO TAM ROBI?,2026-05-14T17:45:07Z,32769,289,18,PT54S,22
ccUPV5VwElw,KanalZero,TOMMY ROBINSON - DO NIEGO JECHAŁ TARCZYŃSKI. LONDYN PRZED ANTYIMIGRANCKIM MARSZEM,2026-05-14T17:28:49Z,81440,3005,579,PT16M17S,22
7vELtGsjVtI,KanalZero,"MAJA OSTASZEWSKA - HIPOKRYZJA, ZWIERZĘTA, GRANICA I GLOBALNE OCIEPLENIE",2026-05-14T16:00:11Z,250011,12227,1969,PT12M11S,22
8oY4Nvk62X4,KanalZero,PRZYJACIELE TRUMP I XI. CHIŃSKIE PRZYJĘCIE PREZYDENTA USA,2026-05-14T15:02:58Z,99856,2917,192,PT13M48S,22
629uMNGWSvI,KanalZero,PROF. MATCZAK O UCIECZCE ZIOBRO,2026-05-14T14:30:10Z,17556,90,78,PT54S,22
b7FsIHY98OU,KanalZero,MŁODZI MÓWIĄ LEPIEJ PO ANGIELSKU?,2026-05-14T14:15:06Z,52628,282,41,PT1M14S,22
YC4nsZHkQcc,KanalZero,ZMIANA WARTY NA TAJWANIE,2026-05-14T14:00:57Z,22388,229,22,PT1M43S,22
8xYaRPO-wYI,KanalZero,"ESCOBAR, HUSSEIN I ZIOBRO - JAK UCIEKALI? NIEPOPRAWNIK",2026-05-14T13:39:09Z,31941,1064,511,PT31M25S,22
33A7LETmhU4,KanalZero,KAROL NAWROCKI NA MSZY POLOWEJ W RUMUNII,2026-05-14T13:30:03Z,118192,3179,112,PT50S,22
vGKYvRxl1gA,KanalZero,ANDRZEJ ROZENEK VS KRZYSZTOF SZYMAŃSKI,2026-05-14T13:01:39Z,14079,104,15,PT1M35S,22
ZNWcfp6a2Gk,KanalZero,CZYM JEST GAIA AI?,2026-05-14T12:45:09Z,5037,29,7,PT1M1S,22
PDrlHx-c9wo,KanalZero,MOCNE SŁOWA BOCHEŃSKIEGO O LGBT!,2026-05-14T12:15:04Z,14435,378,44,PT1M44S,22
mqe-vVJ3OUg,KanalZero,AFERA Z TACO MOCNO PRZESADZONA?,2026-05-14T11:45:12Z,8301,30,5,PT30S,22
eC0YsK-sRe0,KanalZero,A CZY WY SIĘ UŚMIECHACIE?,2026-05-14T11:45:05Z,32502,220,20,PT1M33S,22
iqnb9MpXM9o,KanalZero,ILE JEST PŁCI?,2026-05-14T11:15:09Z,630896,30685,1475,PT1M46S,22
xvoamBPQ6-s,KanalZero,"NAGRODY NOBLA - NAJLEPSZY PR W HISTORII? DYNAMIT, BRUDNA FORTUNA I PRESTIŻ",2026-05-14T10:43:43Z,34176,1512,44,PT17M8S,22
1Jrk-V0wIMo,KanalZero,JUŻ NIEDŁUGO W KSIĘGARNIACH!,2026-05-14T10:30:02Z,5321,31,3,PT17S,25
qpIAgCNurts,KanalZero,DLACZEGO LUDZIE NIE UFAJĄ FARMACEUTOM?,2026-05-14T10:01:15Z,9131,48,7,PT1M18S,22
u2X3LLfpuFQ,KanalZero,DLACZEGO CHCECIE KARAĆ LUDZI ZA BLANTY?,2026-05-14T09:45:06Z,13676,94,51,PT1M37S,22
Zx3wkX2Tamk,KanalZero,POJEDYNEK BOCHEŃSKIEGO I FIGURY! PUTIN CZY NETANJAHU?,2026-05-14T09:15:02Z,42386,376,90,PT1M47S,22
BKL4cKIAcWk,KanalZero,BOCHEŃSKI SPRYWATYZOWAŁBY TVP?,2026-05-14T08:30:10Z,17990,342,30,PT1M20S,22
fJX082bdclM,KanalZero,SKĄD OMZRIK MA PIENIĄDZE?,2026-05-14T08:08:00Z,11703,186,6,PT1M41S,22
