video_id,channel_name,title,published_at,view_count,like_count,comment_count,duration,duration_seconds,category_id
iYeEpCj3IAQ,Imponderabilia,Jak poprawić swoją odporność? Dr Magdalena Kulma | Imponderabilia #97,2020-03-25T18:12:46Z,21833,679,64,PT1H10M11S,4211,22
UvRrHkWO6Og,Imponderabilia,Koronawirus: kiedy lek albo szczepionka? Ile trwa pandemia? Dr Rafał Mostowy | Imponderabilia #96,2020-03-22T19:05:38Z,75555,2406,182,PT1H2M46S,3766,22
b2qDLpUgfZ0,Imponderabilia,"Piotr Cyrwus o życiu po ""Klanie"" i roli księdza ""W lesie dziś nie zaśnie nikt"" | Imponderabilia #95",2020-03-20T18:46:53Z,77484,1713,141,PT1H9M12S,4152,22
cLQSs4YjfgQ,Imponderabilia,"Szymon Hołownia odpowiada na pytania: koronawirus, wiara, aborcja, ekologia | Imponderabilia #94",2020-03-12T14:58:43Z,535484,15014,1657,PT1H14M17S,4457,22
S0L5w96qClg,Imponderabilia,"Hejter, koronawirus i tajemnice imprez po Oscarach. Jan Komasa | Imponderabilia #93",2020-03-08T14:40:15Z,116103,2939,185,PT1H28M56S,5336,22
nvvjcNUkvKY,Imponderabilia,"Krzysztof Bosak odpowiada na pytania: LGBT, szczepionki, kościół, wartości | Imponderabilia #92",2020-03-05T15:48:40Z,990544,31484,5055,PT1H8M51S,4131,22
dVTYZ6bwiak,Imponderabilia,Jakie tajemnice zna doradca ubezpieczeniowy? Opowiada Tomasz Lasowski | Imponderabilia #91,2020-03-02T14:59:00Z,27220,303,154,PT1H10M23S,4223,22
egAur5FWdqM,Imponderabilia,Kim jest Remigiusz Mróz i czego nie pisze w swoich książkach? | Imponderabilia #90,2020-02-27T16:21:07Z,209735,4826,237,PT1H4M57S,3897,22
hnYvsnFLww8,Imponderabilia,"Fajnie będzie, jeśli połączymy fanów Comy i The Dumplings. Karaś/Rogucki | Imponderabilia #89",2020-02-20T15:14:34Z,70403,1648,122,PT55M30S,3330,22
fv08eglIaYU,Imponderabilia,"Locke And Key: Darby Stanchfield, Connor Jessup, Meredith Averill, Carlton Cuse Imponderabilia Bonus",2020-02-15T15:05:01Z,13532,510,36,PT8M1S,481,22
Hl7UpzIiuRw,Imponderabilia,"Vega: Żałuję, że zrobiłem ""Politykę"". Sprzedaję Lambo i będę ascetą jak Jobs. | Imponderabilia #88",2020-02-11T15:30:37Z,445060,7456,825,PT1H4M24S,3864,22
XSUSKvDXFiw,Imponderabilia,Komentujemy Oscary 2020: Kto wygra? Dlaczego mają znaczenie? Michał Oleszczyk | Imponderabilia #87,2020-02-06T17:54:54Z,49419,1400,166,PT1H40M14S,6014,22
FPLm8gFX8ho,Imponderabilia,Jak pokochać jazz? Tłumaczy Maciej Obara | Imponderabilia #86,2020-01-30T15:55:55Z,25435,828,81,PT1H28M41S,5321,22
ii0fypTHzCw,Imponderabilia,"Cezary Pazura opowiada najlepsze anegdoty z planu filmu ""Psy 3"" i nie tylko | Imponderabilia #85",2020-01-23T17:04:46Z,554840,11529,652,PT1H3M45S,3825,22
aSnSYZxzSdo,Imponderabilia,Kosmiczne energie i młodość Ralpha Kaminskiego | Imponderabilia #84,2020-01-16T17:56:40Z,415872,9683,469,PT1H3M55S,3835,22
RJKhxjyoN90,Imponderabilia,"Człowiek, który zagrał papieża i bigamistę - Piotr Adamczyk w Mayday | Imponderabilia #83",2020-01-09T15:53:54Z,163382,3713,212,PT1H30M15S,5415,22
-mvZ2xpx54s,Imponderabilia,Koniec z YouTube! G.F. Darwin szczerze o swojej przeszłości i przyszłości | Imponderabilia #80,2019-12-19T15:00:04Z,388328,8401,374,PT2H14M3S,8043,22
FBvl9JVjSQE,Imponderabilia,Jak stworzyć restaurację odpowiedzialną klimatycznie? Kaj Török z Max Burgers | Imponderabilia #79,2019-12-12T16:46:42Z,25277,803,95,PT52M38S,3158,22
BpGORtkGQvs,Imponderabilia,"Katarzyna Bonda musiała się zakochać, żeby mogła dokończyć książkę | Imponderabilia #78",2019-12-05T17:08:59Z,167980,3416,245,PT1H21M9S,4869,27
hVyn_RxxnR0,Imponderabilia,Ukraiński dowódca uratował nam życie. Piotr Andrusieczko o wojnie na Ukrainie | Imponderabilia #77,2019-12-01T16:02:36Z,25256,746,46,PT1H45M4S,6304,22
