video_id,channel_name,title,published_at,view_count,like_count,comment_count,duration,duration_seconds,category_id
10Dagf19AFo,Patec,ZATRZYMALI MNIE NA LOTNISKU... - 80 DDŚ #30,2023-04-18T13:00:02Z,465085,25639,337,PT22M20S,1340,24
L6rTykO0Rwo,Patec,JEDYNE TAKIE MIEJSCE NA ZIEMI - 80 DDŚ #29,2023-04-16T13:00:11Z,467038,24216,329,PT21M45S,1305,24
0RLSWhnaC5k,Patec,NOWOZELANDZKI Ɔ́ԀꓵN SPRAWIA PROBLEMY - 80 DDŚ #28,2023-04-14T13:00:01Z,578734,28757,606,PT28M18S,1698,24
kMu6bdrKKjg,Patec,PIJOK WSZEDŁ MI DO SAMOCHODU - 80 DDŚ #27,2023-04-12T13:00:36Z,471396,28990,410,PT20M59S,1259,24
HadLgaYIi2A,Patec,MAŁPY NAS ZAATAKOWAŁY - 80 DDŚ #26,2023-04-10T13:00:10Z,482395,22282,1131,PT15M36S,936,24
NaDvxECwt5M,Patec,NASZA PLANETA UMIERA - 80 DDŚ #25,2023-04-08T13:00:29Z,507685,27522,485,PT28M54S,1734,24
62vdce3OHRM,Patec,ZWIEDZILIŚMY ZATOPIONY OKRĘT - 80 DDŚ #24,2023-04-06T13:00:06Z,420126,24269,262,PT20M50S,1250,24
G4y-JBNrD8Y,Patec,ZOSTAŁEM BALIJSKIM MAKŁOWICZEM - 80 DDŚ #23,2023-04-04T13:00:16Z,502677,28357,477,PT24M29S,1469,24
M6Zue3AuasE,Patec,NAJGORSZY DZIEŃ PODRÓŻY - 80 DDŚ #22,2023-04-02T13:00:23Z,488702,26663,340,PT17M50S,1070,24
xuazvfW_-gY,Patec,WIOSKA HⱯƧHꓵ - 80 DDŚ #21,2023-03-31T13:04:58Z,657322,31777,550,PT25M49S,1549,24
owEM0WqYQ30,Patec,ZAGINIONA WIOSKA SZACHÓW - 80 DDŚ #20,2023-03-29T13:00:37Z,354417,22178,308,PT15M43S,943,24
525bE49FGWA,Patec,ŻYCIE W SLUMSACH - 80 DDŚ #19,2023-03-27T13:00:03Z,607253,32560,389,PT18M16S,1096,24
